date,category,search_group,search_term,query_variant,page,title,url,currency,price,old_price,rating,reviews,stock_status,stock_text
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"BOSCH Series 4 ProHygienic Vacuum Cleaner, 2200 Watt, 4 Litre, ULPA Filter, Germany, 4 L 2200 W BGL38WHYG White",https://www.noon.com/egypt-en/series-4-prohygienic-vacuum-cleaner-2200-watt-4-litre-ulpa-filter-germany-4-l-2200-w-bgl38whyg-white/N70136443V/p/?o=d369cebfa406233c,EGP,"6,199",,4.6,26,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,"JAMAKY Italy Vacuum cleaner with power of 30 watts, capacity of 1.0 liters, with Italian technology that makes it more practical and easy to use, model JMK1600",https://www.noon.com/egypt-en/vacuum-cleaner-with-power-of-30-watts-capacity-of-1-0-liters-with-italian-technology-that-makes-it-more-practical-and-easy-to-use-model-jmk1600/Z48CD3E0E532AB1036228Z/p/?o=z48cd3e0e532ab1036228z-1,EGP,345,480,1.0,16,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Fresh Handheld Vacuum Cleaner 1600 W 1600 W fb-1600a Red/Black/Silver,https://www.noon.com/egypt-en/handheld-vacuum-cleaner-1600-w-1600-w-fb-1600a-red-black-silver/N23171638A/p/?o=fbd35a67a290935c,EGP,"2,570",,4.3,19,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Samsung Vacuum Cleaner 1.3 L 2000 W SC4570 Black,https://www.noon.com/egypt-en/vacuum-cleaner-1-3-l-2000-w-sc4570-black/N44123321A/p/?o=d94590340f47dd5f,EGP,"5,526",,1.3,12,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,BLACK+DECKER 2-In-1 Cordless Stick Vacuum Cleaner 500ML 500 ml 28.8 W SVA420B Dark Titanium,https://www.noon.com/egypt-en/2-in-1-cordless-stick-vacuum-cleaner-500ml-500-ml-28-8-w-sva420b-dark-titanium/N30960150A/p/?o=b3529df16d6b0f2b,EGP,"5,599","5,790",4.3,6,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,KENWOOD Vacuum Cleaner 2200W 2200 W VC2727 Grey,https://www.noon.com/egypt-en/vacuum-cleaner-2200w-2200-w-vc2727-grey/N30389807A/p/?o=d30643033d4b88ee,EGP,"5,799",,5.0,1,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,1,Fresh Vacuum Cleaner Magic 2000 Watt with Bag - Orange,https://www.noon.com/egypt-en/fresh-vacuum-cleaner-magic-2000-watt-with-bag-orange/Z533D73160639FA16E623Z/p/?o=c33c111ef590cf7e,EGP,"3,899","6,599",5.0,3,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,2,Samsung Vacuum Cleaner 1.3 L 2000 W SC4570 Black,https://www.noon.com/egypt-en/vacuum-cleaner-1-3-l-2000-w-sc4570-black/N44123321A/p/?o=d94590340f47dd5f,EGP,"5,526",,1.3,12,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,2,Bissell Spotclean Multiclean Spot And Stain | 47202 | Portable Carpet & Furniture Deep Cleaner With The Power Of Heatweave Technology™ &Two Tank Technology | 2 Years Warranty 1.1 L 330 W 47202 Black/Blue,https://www.noon.com/egypt-en/spotclean-multiclean-spot-and-stain-47202-portable-carpet-furniture-deep-cleaner-with-the-power-of-heatweave-technology-two-tank-technology-2-years-warranty-1-1-l-330-w-47202-black-blue/N70003613V/p/?o=b3d1bc7c4ce3b8cb,EGP,"8,849","9,062",1.1,678,unknown,
2025-12-27,Home_Appliances,Home_Appliances,vacuum cleaner,vacuum cleaner,2,LG Bagless Vacuum Cleaner 1.3 L 2000 W VC5420NNTB Blue,https://www.noon.com/egypt-en/bagless-vacuum-cleaner-1-3-l-2000-w-vc5420nntb-blue/N70119213V/p/?o=eae9c4377103df1e,EGP,"6,850","6,990",1.3,1,unknown,
